fictitious,identifier,class,roadNumber,name1,name1_lang,name2,name2_lang,formOfWay,length,primary,trunkRoad,loop,startNode,endNode,structure,nameTOID,numberTOID,function.,length_raw,length_str,length_dif,sinuosity
false,29BD892A-2974-4AEA-B619-178D218F319E,Unclassified,NA,Brickhill Street,NA,NA,NA,Single Carriageway,286,false,false,false,581959A0-E111-4CAE-8A18-3C3EA38D6059,031D7F5C-6D1C-4874-96A9-1DEDFEE334F2,NA,osgb4000000019438371,NA,Minor Road,286.084645715675,285.813389819307,0.271255896368473,1.00094906643996
false,6E505E31-DEBD-4495-AFBC-2BE4DFA82CB0,Unknown,NA,NA,NA,NA,NA,Single Carriageway,188,false,false,false,4CB370FA-011E-4E0C-8D85-300D633982A3,C93974BF-9AE0-4A2F-860F-4A52857F638D,NA,NA,NA,Restricted Local Access Road,188.422763928636,169.050662820375,19.3721011082603,1.11459346437963
false,72E97522-7443-41E1-A45B-8EC58FA87FD2,A Road,A509,Portway,NA,NA,NA,Roundabout,18,false,false,false,93BD8FA0-AE61-430D-A667-6FE07223598C,36BF7210-3648-4AEA-AB9A-00D4723A992F,NA,osgb4000000019433751,osgb4000000019553705,A Road,17.7269311127822,17.6494334186893,0.0774976940929797,1.0043909451513
false,473DB544-33DE-4138-89BF-240E901E541D,A Road,A509,Portway,NA,NA,NA,Roundabout,39,false,false,false,7588D4BA-2744-4064-B5BD-D6D411E8DCEA,93BD8FA0-AE61-430D-A667-6FE07223598C,NA,osgb4000000019433751,osgb4000000019553705,A Road,38.9971622506124,36.3593179253957,2.63784432521672,1.07254933468854
false,50858A87-6691-4C05-86D5-3B60DEA71D48,A Road,A509,Portway,NA,NA,NA,Roundabout,36,false,false,false,36BF7210-3648-4AEA-AB9A-00D4723A992F,A454CD8C-1B19-4FCC-A7CE-1B97F3704A27,NA,osgb4000000019433751,osgb4000000019553705,A Road,35.8944513135045,32.5277051142331,3.36674619927143,1.10350395724039
false,901937E0-BC90-4E80-8C07-F5B65EEA4998,A Road,A509,Portway,NA,NA,NA,Roundabout,23,false,false,false,AD965C63-64C6-415B-A8BF-8D53CC4C4D20,7588D4BA-2744-4064-B5BD-D6D411E8DCEA,NA,osgb4000000019433751,osgb4000000019553705,A Road,22.5712234141858,22.1000294117452,0.471194002440559,1.02132096721057
false,AC08AA08-669A-4738-9D42-5ACA418B3F86,A Road,A509,Portway,NA,NA,NA,Roundabout,38,false,false,false,A454CD8C-1B19-4FCC-A7CE-1B97F3704A27,AD965C63-64C6-415B-A8BF-8D53CC4C4D20,NA,osgb4000000019433751,osgb4000000019553705,A Road,37.9780433532873,33.7372672277881,4.24077612549922,1.12570004846173
false,4A538724-2E45-4905-80F3-181022574051,A Road,A509,Portway,NA,NA,NA,Collapsed Dual Carriageway,753,false,false,false,3563E510-729F-472F-8522-EA12A6B688B5,A454CD8C-1B19-4FCC-A7CE-1B97F3704A27,NA,osgb4000000019433751,osgb4000000019553705,A Road,753.156975063262,752.734227201113,0.422747862149095,1.0005616163672
false,F8975F68-B0D1-4121-9B87-139F53BE7818,Unclassified,NA,Oakley Gardens,NA,NA,NA,Single Carriageway,213,false,false,false,DD126519-5443-4813-BD5F-34B429C8DBD5,4EA4EB52-D22B-4EA0-950A-B42EEAADC615,NA,osgb4000000019399184,NA,Local Road,213.365556993094,182.693732787964,30.6718242051296,1.1678865702565
false,ABD69DB4-8426-4BE4-8F99-225906BA104C,Unclassified,NA,Warmington Gardens,NA,NA,NA,Single Carriageway,123,false,false,false,DEB4DA10-1BEF-4132-B666-085C122A6FA2,DB4CA57C-E9FD-4530-AEAE-D0739C61B438,NA,osgb4000000019408292,NA,Local Road,123.411649779155,78.8542960148653,44.5573537642899,1.56505930578456
false,E008E914-A310-43C0-80AE-FA3E39B5C418,Unknown,NA,Warmington Gardens,NA,NA,NA,Single Carriageway,72,false,false,false,DB4CA57C-E9FD-4530-AEAE-D0739C61B438,E89D32C3-0FA2-4319-929C-D7C8F07729D2,NA,osgb4000000019408292,NA,Local Road,72.4499827467198,72.4499827467198,0,1
false,A23CFB98-4D9F-4736-AFE5-FB45388C93DC,Unclassified,NA,Warmington Gardens,NA,NA,NA,Single Carriageway,21,false,false,false,DB4CA57C-E9FD-4530-AEAE-D0739C61B438,150A5EF2-5179-4122-B534-FBE80C905F4C,NA,osgb4000000019408292,NA,Local Road,20.6155281280883,20.6155281280883,0,1
